MIME
	純文字	text/plain
	HTML	text/html
	XHTML	application/xhtml+xml
	CSS	text/css
	GIF	image/gif
	JPEG	image/jpeg
	PNG	image/png
rel.rev值
	Alternate	存在連結的文件的替代版
	Stylesheet	樣式表
	Start		參照一堆文件之中第一個文件
	Chapter		參照一堆文件之中被視為章的文件
	Section		參照一堆文件之中被視為節的文件
	Subsection	參照一堆文件之中被視為項的文件
	Appendix	參照一堆文件之中被視為附錄的文件
	Next		下一個文件
	Prev		上一個文件
	Contents	目錄
	Index		索引
	Glossary	用語說明
	Copyright	著作權相關
	Help		說明文件
	Bookmark	書籤
系統顏色指定
	ActiveBorder		選取中視窗的框色
	ActiveCaption		選取中視裝的標題列顏色
	AppWorkspace		應用程式內的視窗背景色
	BackGround		桌面背景色
	ButtonFace		立體按鈕正面顏色
	ButtonHighlight		立體按鈕受光面顏色
	ButtonShadow		立體按鈕陰影顏色
	ButtonText		立體按鈕文字顏色
	CaptionText		標題列文字顏色
	Graytext		無法選取的狀態色
	Highlight		選取中的狀態色
	HighlightText		選取中的文字顏色
	InactiveBorder		未點選的是窗框色
	InactiveCaption		未點選的視窗標題列顏色
	InactiveCaptionText	未點選的視窗標題列文字色
	InfoBackground		工具提示的背景色
	InfoText		工具提示的文字顏色
	Menu			選單的背景色
	MenuText		選單的文字顏色
	Scrollbar		捲動列的顏色
	ThreeDDarkShadow	立體圖案的暗部陰影的顏色
	ThreeDFace		立體圖案的正面顏色
	ThreeDHighlight		立體圖案的受光部分顏色
	ThreeDShadow		立體圖案的陰影顏色
	Window			視窗的背景色
	WindowFrame		視窗的邊框色
	WindowText		視窗的文字顏色
